latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
37.18526,-121.6776,297.9,0.54,0.51,6/18/20,1030,1,VIIRS,n,2.0NRT,287.6,0.6,N
37.21302,-121.90104,297.2,0.47,0.4,6/19/20,1012,1,VIIRS,n,2.0NRT,286.3,0.3,N
37.45465,-121.93279,306.3,0.46,0.39,6/19/20,1012,1,VIIRS,n,2.0NRT,285.7,0.7,N
37.18484,-121.67814,300.2,0.48,0.4,6/19/20,1012,1,VIIRS,n,2.0NRT,287,0.6,N
37.18554,-121.67985,298.4,0.38,0.36,6/20/20,954,1,VIIRS,n,2.0NRT,286,0.3,N
37.21241,-121.90071,297.5,0.39,0.36,6/20/20,954,1,VIIRS,n,2.0NRT,286.2,0.4,N
37.45498,-121.92982,305.8,0.39,0.36,6/20/20,954,1,VIIRS,n,2.0NRT,287.8,0.5,N
37.45582,-121.93483,299.5,0.54,0.42,6/21/20,936,1,VIIRS,n,2.0NRT,287.4,0.3,N
37.18539,-121.67686,300.7,0.52,0.42,6/21/20,936,1,VIIRS,n,2.0NRT,286.9,0.7,N
37.45615,-121.93334,301.7,0.32,0.55,6/22/20,918,1,VIIRS,n,2.0NRT,286.9,0.4,N
36.96714,-121.75882,341.2,0.36,0.57,6/23/20,2018,1,VIIRS,n,2.0NRT,298.9,17.8,D
37.45602,-121.9322,298.5,0.54,0.42,6/24/20,1018,1,VIIRS,n,2.0NRT,284.2,0.8,N
37.46949,-121.23795,305.9,0.4,0.37,6/25/20,1000,1,VIIRS,n,2.0NRT,293.8,1.6,N
37.21385,-121.90016,298.3,0.39,0.36,6/25/20,1000,1,VIIRS,n,2.0NRT,288.3,0.4,N
37.47534,-121.23165,311.3,0.4,0.37,6/25/20,1000,1,VIIRS,n,2.0NRT,294.3,1.9,N
37.47279,-121.23702,329.1,0.4,0.37,6/25/20,1000,1,VIIRS,n,2.0NRT,295.6,3.3,N
37.47204,-121.23259,323.4,0.4,0.37,6/25/20,1000,1,VIIRS,n,2.0NRT,296.3,1.9,N
37.46875,-121.23357,336.3,0.4,0.37,6/25/20,1000,1,VIIRS,n,2.0NRT,297.9,3.9,N
37.45481,-121.93135,310.3,0.39,0.36,6/25/20,1000,1,VIIRS,n,2.0NRT,288.7,0.8,N
37.45683,-121.9313,311.4,0.46,0.39,6/26/20,942,1,VIIRS,n,2.0NRT,290.1,0.9,N
37.2122,-121.79069,342.2,0.38,0.36,6/26/20,2100,1,VIIRS,l,2.0NRT,316.5,4.6,D
37.45768,-121.93012,301,0.53,0.5,6/27/20,924,1,VIIRS,n,2.0NRT,289.7,0.8,N
37.45419,-121.93097,303.6,0.52,0.5,6/27/20,924,1,VIIRS,n,2.0NRT,290,0.8,N
37.45573,-121.93182,302.1,0.43,0.46,6/29/20,1024,1,VIIRS,n,2.0NRT,285.6,0.7,N
37.21367,-121.90184,297.7,0.42,0.37,6/30/20,1006,1,VIIRS,n,2.0NRT,286.6,0.3,N
37.42985,-122.08075,296.7,0.41,0.37,6/30/20,1006,1,VIIRS,n,2.0NRT,285.7,0.4,N
37.45596,-121.92978,312.9,0.41,0.37,6/30/20,1006,1,VIIRS,n,2.0NRT,288.3,0.8,N
37.45591,-121.93061,310.8,0.41,0.37,7/1/20,948,1,VIIRS,n,2.0NRT,287.8,0.8,N
37.46359,-122.12777,338.7,0.39,0.36,7/1/20,2106,1,VIIRS,n,2.0NRT,311.5,2.5,D
37.45391,-121.93192,302.7,0.43,0.46,7/2/20,930,1,VIIRS,n,2.0NRT,288.1,0.8,N
37.45713,-121.93188,302,0.39,0.6,7/3/20,912,1,VIIRS,n,2.0NRT,286.6,0.6,N
37.45281,-121.93217,298.9,0.46,0.64,7/3/20,1048,1,VIIRS,n,2.0NRT,286.8,0.6,N
37.45424,-121.93146,300,0.52,0.5,7/4/20,1030,1,VIIRS,n,2.0NRT,287.9,1,N
37.45481,-121.93369,310.8,0.46,0.39,7/5/20,1012,1,VIIRS,n,2.0NRT,289.4,1.5,N
37.15432,-121.57786,350.3,0.48,0.4,7/5/20,1012,1,VIIRS,n,2.0NRT,295.6,8.7,N
37.15532,-121.58297,333.3,0.48,0.4,7/5/20,1012,1,VIIRS,n,2.0NRT,290.2,29.4,N
37.15708,-121.57243,343.4,0.48,0.4,7/5/20,1012,1,VIIRS,n,2.0NRT,296.1,8.7,N
37.15804,-121.57735,344.8,0.48,0.4,7/5/20,1012,1,VIIRS,n,2.0NRT,296.2,8.7,N
37.15903,-121.58242,337.6,0.48,0.4,7/5/20,1012,1,VIIRS,n,2.0NRT,307.2,29.4,N
37.16174,-121.57681,317.8,0.48,0.4,7/5/20,1012,1,VIIRS,n,2.0NRT,290.6,4.3,N
37.18545,-121.67922,304.2,0.48,0.4,7/5/20,1012,1,VIIRS,n,2.0NRT,288.6,1,N
37.16272,-121.58183,328.6,0.48,0.4,7/5/20,1012,1,VIIRS,n,2.0NRT,289.3,4,N
37.16074,-121.57167,344.5,0.48,0.4,7/5/20,1012,1,VIIRS,n,2.0NRT,291.7,4.3,N
37.15243,-121.56816,326.6,0.48,0.4,7/5/20,1012,1,VIIRS,n,2.0NRT,290.7,4.2,N
37.15339,-121.5731,326.1,0.48,0.4,7/5/20,1012,1,VIIRS,n,2.0NRT,290.6,8.7,N
37.02974,-121.5077,345.1,0.48,0.48,7/5/20,2136,1,VIIRS,n,2.0NRT,317.7,11.5,D
37.03017,-121.50272,352.4,0.48,0.48,7/5/20,2136,1,VIIRS,l,2.0NRT,327.9,35,D
37.03415,-121.50854,344.3,0.48,0.48,7/5/20,2136,1,VIIRS,n,2.0NRT,318.8,11.5,D
