datetime,date,time,Severity,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,forest_fire
1/12/20 21:00,1/12/20,21:00:00,0,7.81099987,58.86637497,0,934.4040527,52.80000305,12.38734818,7.861000061,6.160999775,0.34799999,0.351000011,N
1/13/20 0:00,1/13/20,0:00:00,0,7.111000061,68.29138184,0,933.4658203,12.30000019,6.287129879,8.811000824,6.861000061,0.342000008,0.34799999,N
1/13/20 3:00,1/13/20,3:00:00,0,3.361000061,95.84519196,0,933.348877,47.70000076,8.350137711,5.861000061,7.011000156,0.340999991,0.34799999,N
1/13/20 6:00,1/13/20,6:00:00,0,3.010999918,100,0,933.7903442,100,9.826087952,5.011000156,6.81099987,0.340999991,0.34799999,N
1/13/20 9:00,1/13/20,9:00:00,0,4.31099987,88.39134979,0,933.5445557,91.80000305,7.594207287,4.81099987,6.56099987,0.340999991,0.34799999,N
1/13/20 12:00,1/13/20,12:00:00,0,4.361000061,98.26385498,0,934.7474365,69.29999542,6.130578995,5.011000156,6.361000061,0.342000008,0.34799999,N
1/13/20 15:00,1/13/20,15:00:00,0,1.010999918,100,0,933.9077148,90,4.843304634,3.510999918,6.111000061,0.342000008,0.34799999,N
1/13/20 18:00,1/13/20,18:00:00,0,6.660999775,73.51293182,0,936.2587891,0,8.209262848,5.511000156,5.861000061,0.342000008,0.347000003,N
1/13/20 21:00,1/13/20,21:00:00,0,7.81099987,70.66022491,0,935.5016479,75.59999847,11.88545322,8.511000633,6.361000061,0.340000004,0.347000003,N
1/14/20 0:00,1/14/20,0:00:00,0,7.361000061,72.86225128,0,935.18573,30.59999847,8.47339344,9.261000633,7.111000061,0.342000008,0.34799999,N
1/14/20 3:00,1/14/20,3:00:00,0,4.960999966,90.02294159,0,934.8366089,100,2.099142551,6.861000061,7.361000061,0.342000008,0.34799999,N
1/14/20 6:00,1/14/20,6:00:00,0,4.761000156,99.30455017,0,933.9540405,90.59999847,5.692099094,6.210999966,7.261000156,0.342000008,0.347000003,N
1/14/20 9:00,1/14/20,9:00:00,0,5.011000156,99.30594635,0.200000003,933.3894653,94.19999695,9.02157402,6.06099987,7.160999775,0.344999999,0.347000003,N
1/14/20 12:00,1/14/20,12:00:00,0,4.861000061,97.24601746,0.100000001,934.6238403,90,12.84952831,5.160999775,6.861000061,0.354000002,0.347000003,N
1/14/20 15:00,1/14/20,15:00:00,0,3.611000061,93.83783722,0,935.7079468,81,6.21456337,4.910999775,6.611000061,0.352999985,0.347000003,N
1/14/20 18:00,1/14/20,18:00:00,0,5.660999775,78.20372772,0,937.331543,55.20000076,13.45070839,5.861000061,6.460999966,0.351999998,0.347000003,N
1/14/20 21:00,1/14/20,21:00:00,0,7.361000061,59.61149216,0,936.1002808,22.5,12.30336571,8.011000633,6.710999966,0.349999994,0.347000003,N
1/15/20 0:00,1/15/20,0:00:00,0,6.910999775,68.24922943,0,935.2354736,20.69999886,10.1376915,9.361000061,7.31099987,0.342000008,0.342999995,N
1/15/20 3:00,1/15/20,3:00:00,0,2.911000013,92.80479431,0,934.2165527,1.799999952,9.178235054,6.111000061,7.460999966,0.342000008,0.342999995,N
1/15/20 6:00,1/15/20,6:00:00,0,1.460999966,94.07112885,0,933.4075928,1.799999952,8.28782177,4.361000061,7.06099987,0.340999991,0.342999995,N
1/15/20 9:00,1/15/20,9:00:00,0,0.611000001,92.00083923,0,932.5067139,0,6.379216194,3.31099987,6.511000156,0.340999991,0.342999995,N
1/15/20 12:00,1/15/20,12:00:00,0,-0.738999963,91.57699585,0,931.6312866,3.599999905,3.893995285,1.56099999,5.910999775,0.340000004,0.342000008,N
1/15/20 15:00,1/15/20,15:00:00,0,1.210999966,82.19864655,0,931.5054321,30.90000153,1.938659191,0.861000001,5.160999775,0.340000004,0.342000008,N
1/15/20 18:00,1/15/20,18:00:00,0,5.56099987,57.22745895,0,931.6348267,41.09999847,3.617955208,3.710999966,4.761000156,0.338999987,0.342000008,N
1/15/20 21:00,1/15/20,21:00:00,0,8.861000061,48.97004318,0,929.2219238,35.40000153,7.235910416,7.660999775,5.210999966,0.337000012,0.340999991,N
1/16/20 0:00,1/16/20,0:00:00,0,7.410999775,60.93307114,0,928.1588745,37.5,10.43999958,8.411000252,6.111000061,0.333999991,0.340000004,N
1/16/20 3:00,1/16/20,3:00:00,0,4.011000156,80.51435089,0,927.607605,28.50000191,5.904438972,5.710999966,6.410999775,0.333999991,0.340000004,N
1/16/20 6:00,1/16/20,6:00:00,0,2.210999966,91.44086456,0,927.3378906,43.5,6.109402657,3.81099987,6.160999775,0.333999991,0.340000004,N
1/16/20 9:00,1/16/20,9:00:00,0,3.111000061,99.64706421,0,926.6974487,100,11.11928082,4.011000156,5.861000061,0.333999991,0.340000004,N
1/16/20 12:00,1/16/20,12:00:00,0,3.460999966,91.85030365,0,925.0674438,68.40000153,10.30883121,4.210999966,5.56099987,0.338,0.342000008,N
1/16/20 15:00,1/16/20,15:00:00,0,2.161000013,96.14875793,0,923.2142944,100,12.09621429,3.510999918,5.361000061,0.338,0.342000008,N
1/16/20 18:00,1/16/20,18:00:00,0,4.160999775,98.26107025,0.600000024,922.9017944,100,24.13074303,4.410999775,5.261000156,0.349000007,0.342000008,N
1/16/20 21:00,1/16/20,21:00:00,0,2.510999918,98.93936157,2,923.9592285,100,15.79083252,4.611000061,5.361000061,0.428000003,0.356000006,N
1/17/20 0:00,1/17/20,0:00:00,0,2.31099987,98.93764496,0.100000001,925.177002,100,13.6847353,4.511000156,5.361000061,0.400000006,0.349000007,N
1/17/20 3:00,1/17/20,3:00:00,0,1.911000013,95.11177826,0.100000001,927.8859253,23.69999886,9,3.510999918,5.261000156,0.402999997,0.354000002,N
1/17/20 6:00,1/17/20,6:00:00,0,1.710999966,97.17563629,0,930.5631714,20.10000038,7.89541626,2.960999966,5.06099987,0.393999994,0.356999993,N
1/17/20 9:00,1/17/20,9:00:00,0,1.31099999,96.12242126,0,933.0876465,60.30000305,4.553679466,2.510999918,4.761000156,0.388000011,0.35800001,N
1/17/20 12:00,1/17/20,12:00:00,0,-2.138999939,99.63153839,0,933.4719849,11.40000057,4.104631424,2.06099987,4.511000156,0.377999991,0.356999993,N
1/17/20 15:00,1/17/20,15:00:00,0,-1.18900001,95.33909607,0,935.9595947,26.39999962,5.411986351,1.260999918,4.160999775,0.375,0.35800001,N
1/17/20 18:00,1/17/20,18:00:00,0,4.861000061,79.48963928,0,939.0100098,23.70000076,5.959060192,3.111000061,3.911000013,0.372999996,0.35800001,N
1/17/20 21:00,1/17/20,21:00:00,0,7.361000061,60.04513931,0,937.6549683,30.90000153,1.297998428,6.111000061,4.361000061,0.382999986,0.358999997,N
1/18/20 0:00,1/18/20,0:00:00,0,7.210999966,70.54131317,0,937.9762573,40.80000305,1.938659191,7.31099987,5.06099987,0.386000007,0.358999997,N
1/18/20 3:00,1/18/20,3:00:00,0,1.81099999,95.45013428,0,937.4407349,30.29999924,7.145795822,4.761000156,5.410999775,0.381999999,0.360000014,N
1/18/20 6:00,1/18/20,6:00:00,0,0.711000025,100,0,937.1004028,100,5.399999619,3.510999918,5.261000156,0.379000008,0.361000001,N
1/18/20 9:00,1/18/20,9:00:00,0,1.260999918,90.3878479,0,937.1794434,84,5.154415607,3.010999918,5.011000156,0.375999987,0.361000001,N
1/18/20 12:00,1/18/20,12:00:00,0,0.861000001,87.43865967,0,936.7819214,83.40000153,4.82990694,2.010999918,4.710999966,0.374000013,0.361999989,N
1/18/20 15:00,1/18/20,15:00:00,0,1.110999942,95.08043671,0,937.2243652,100,8.404285431,2.260999918,4.410999775,0.372000009,0.361999989,N
1/18/20 18:00,1/18/20,18:00:00,0,7.361000061,51.88291168,0,939.5754395,46.80000305,6.608721733,4.06099987,4.31099987,0.372000009,0.361999989,N
1/18/20 21:00,1/18/20,21:00:00,0,10.56100082,38.97331619,0,938.5010376,42.30000305,4.379589081,7.261000156,4.861000061,0.377000004,0.361999989,N
1/19/20 0:00,1/19/20,0:00:00,0,8.961000443,58.94380951,0,937.7602539,28.20000076,4.51078701,8.161000252,5.361000061,0.375999987,0.360000014,N
